Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
MLM,"Martin Marietta Materials, Inc.",Building Materials,Construction Materials,Construction Materials,Materials,Materials,29.90B
MLNK,"MeridianLink, Inc.",Software - Application,Application Software,Software,Software & Services,Information Technology,1.27B
MLP,"Maui Land & Pineapple Company, Inc.",Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,291.21M
MLR,"Miller Industries, Inc.",Auto Parts,Automotive Parts & Equipment,Automobile Components,Automobiles & Components,Consumer Discretionary,451.04M
MLSS,Milestone Scientific Inc.,Medical Instruments & Supplies,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,70.10M
MLTX,MoonLake Immunotherapeutics,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2.34B
MLYS,"Mineralys Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,875.33M
MMA,Mixed Martial Arts Group Limited,Leisure,Leisure Facilities,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,10.43M
MMC,"Marsh & McLennan Companies, Inc.",Insurance Brokers,Insurance Brokers,Insurance,Insurance,Financials,113.85B
MMI,"Marcus & Millichap, Inc.",Real Estate Services,Real Estate Services,Real Estate Management & Development,Real Estate Management & Development,Real Estate,1.21B
MMLP,Martin Midstream Partners L.P.,Oil & Gas Midstream,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,Energy,109.05M
MMM,3M Company,Conglomerates,Industrial Conglomerates,Industrial Conglomerates,Capital Goods,Industrials,70.35B
